No,ULOK,Nama Toko,Cabang,SPK End,ST Date,Before Days,Before Amount,After Days,After Amount,Delta Days,Delta Amount,Status
1,Z001-2601-6565,"RejectStore",HEAD OFFICE,2026-01-18,2026-01-19,0,0,0,0,0,0,NO_CHANGE
2,XZ01-2512-0002,"JL. MESJID RAWA GENI",BOGOR,2026-03-27,2026-03-30,0,0,0,0,0,0,NO_CHANGE
3,2VZ1-2603-R353-R,"AP PETTARANI WAJO",LUWU,2026-05-09,2026-05-10,0,0,0,0,0,0,NO_CHANGE
4,2VZ1-2603-R531-R,"TANCUNG WAJO",LUWU,2026-05-09,2026-05-10,0,0,0,0,0,0,NO_CHANGE
5,2VZ1-2603-R702-R,"ULUGALUNG WAJO",LUWU,2026-05-09,2026-05-10,0,0,0,0,0,0,NO_CHANGE
6,2VZ1-2603-R614-R,"PANCA RIJANG SIDRAP",LUWU,2026-05-09,2026-05-10,0,0,0,0,0,0,NO_CHANGE
7,2JZ1-2512-0004,"MEKARJAYA",CIANJUR,2026-04-12,2026-04-13,0,0,0,0,0,0,NO_CHANGE
8,LZ01-2602-0004,"BEDILAN 2 BK 11",KOTABUMI,2026-04-12,2026-04-13,0,0,0,0,0,0,NO_CHANGE
9,Z001-2121-0001,"TES KONTRAKTOR",HEAD OFFICE,2026-04-13,2026-04-14,0,0,0,0,0,0,NO_CHANGE
10,2DZ1-2601-0003-R,"Central Barelang",BATAM,2026-04-16,2026-04-17,0,0,0,0,0,0,NO_CHANGE
11,2DZ1-2601-0002,"RUKO SP PLAZA",BATAM,2026-04-17,2026-04-20,0,0,0,0,0,0,NO_CHANGE
12,UZ01-2602-0015,"SMD BELATUK",SIDOARJO BPN_SMD,2026-04-18,2026-04-20,0,0,0,0,0,0,NO_CHANGE
13,UZ01-2601-0005,"BPN RAYA MULAWARMAN",SIDOARJO BPN_SMD,2026-04-20,2026-04-21,0,0,0,0,0,0,NO_CHANGE
14,1JZ1-2602-0001,"CISAMPIH",KARAWANG,2026-04-25,2026-04-27,0,0,0,0,0,0,NO_CHANGE
15,WZ01-2602-0026,"RINGROAD SUNGGAL",MEDAN,2026-05-02,2026-05-04,0,0,0,0,0,0,NO_CHANGE
16,2PZ1-2508-0007,"MT Haryono Baru",TEGAL,2026-05-05,2026-05-06,0,0,0,0,0,0,NO_CHANGE
17,2AZ1-2602-0001,"ALFAMART KUDU",REMBANG,2026-05-14,2026-05-15,0,0,0,0,0,0,NO_CHANGE
18,1DZ1-2601-0001-R,"PANCURAN GADING",JAMBI,2026-05-18,2026-05-19,0,0,0,0,0,0,NO_CHANGE
19,1YZ1-2604-0001,"WENANG MANADO",MANADO,2026-05-25,2026-05-26,0,0,0,0,0,0,NO_CHANGE
20,WZ01-2602-0010,"GRIGIT",MEDAN,2026-05-28,2026-05-29,0,0,0,0,0,0,NO_CHANGE
21,1JZ1-2604-0001,"RAYA DEWI AIR_KARAWANG",KARAWANG,2026-05-30,2026-06-02,0,0,0,0,0,0,NO_CHANGE
22,UZ01-2602-0010,"KPG OESAPA BARU",NTT,2026-05-31,2026-06-02,0,0,0,0,0,0,NO_CHANGE
23,UZ01-2602-0009,"KPG PERINTIS KELAPA LIMA",NTT,2026-06-03,2026-06-04,0,0,0,0,0,0,NO_CHANGE
24,2SZ1-2603-0001-R,"DALAPULI BOLMUT",GORONTALO,2026-06-06,2026-06-08,0,0,0,0,0,0,NO_CHANGE
25,RZ01-2604-0004,"TAMALAYYANG GOWA",MAKASSAR,2026-06-06,2026-06-08,0,0,0,0,0,0,NO_CHANGE
26,2VZ1-2604-0001-R,"KH. MUH. KASIM",LUWU,2026-06-07,2026-06-07,0,0,0,0,0,0,NO_CHANGE
27,2VZ1-2603-0001,"BULU CENRANA SIDRAP",LUWU,2026-06-08,2026-06-09,0,0,0,0,0,0,NO_CHANGE
28,1MZ1-2604-1M4P-R,"JL MOCH KAHFI",PARUNG,2026-06-13,2026-06-15,0,0,0,0,0,0,NO_CHANGE
29,YZ01-2604-0004,"MARGO TARUNO",JEMBER,2026-06-15,2026-06-17,0,0,0,0,0,0,NO_CHANGE
30,CZ01-2603-0001,"APARTEMEN STANDFORD MEIKARTA",BEKASI,2026-06-16,2026-06-17,0,0,0,0,0,0,NO_CHANGE
31,2SZ1-2603-0002,"DUINI BOLMUT",GORONTALO,2026-06-16,2026-06-17,0,0,0,0,0,0,NO_CHANGE
32,2MZ1-2602-0002,"PURWOREJO NGAWI",MADIUN,2026-06-18,2026-06-19,0,0,0,0,0,0,NO_CHANGE
33,CZ01-2604-0002,"TAMAN NAROGONG",BEKASI,2026-06-26,2026-06-29,0,0,0,0,0,0,NO_CHANGE
34,1JZ1-2605-1J3U-R,"PESONA KALANGSURIA",KARAWANG,2026-06-20,2026-06-22,0,0,0,0,0,0,NO_CHANGE
35,CZ01-2603-0003,"RUKO LAVANYA",BEKASI,2026-06-25,2026-06-26,0,0,0,0,0,0,NO_CHANGE
36,2SZ1-2508-0009,"HEPUHULAWA LIMBOTO",GORONTALO,2026-06-26,2026-06-29,0,0,0,0,0,0,NO_CHANGE
37,UZ01-2602-0023,"RAYA LONTAR",SIDOARJO,2026-06-29,2026-06-30,0,0,0,0,0,0,NO_CHANGE
38,IZ01-2603-0010,"RAYA KLEDUNG KRADENAN",CILACAP,2026-07-01,2026-07-02,0,0,0,0,0,0,NO_CHANGE
39,CZ01-2603-0002,"DS PULO GEBANG",BEKASI,2026-07-01,2026-07-02,0,0,0,0,0,0,NO_CHANGE
40,HZ01-2604-0001,"NOTOMUDIGDO KENDAL",SEMARANG,2026-07-06,2026-07-07,0,0,0,0,0,0,NO_CHANGE
41,UZ01-2603-0021,"DI PANJAITAN BPN",SIDOARJO BPN_SMD,2026-07-07,2026-07-08,0,0,0,0,0,0,NO_CHANGE
42,UZ01-2605-M719-R,"CANGKIR GRESIK",SIDOARJO,2026-07-10,2026-07-13,0,0,0,0,0,0,NO_CHANGE
