ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
Z001-2512-B1D2-R,"Toko EFG",HEAD OFFICE,2026-01-01,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2512-6969,"Toko Gantt",HEAD OFFICE,2026-01-09,2025-12-30,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2601-6565,"RejectStore",HEAD OFFICE,2026-01-18,2026-01-28,Yes,0,0,9,7000000,9,7000000,INCREASE,0,0,0,"SPK (tidak ada skip)"
Z001-2601-6666,"Summary Store",HEAD OFFICE,2026-01-20,2026-01-07,Yes,0,0,0,0,0,0,NO_CHANGE,3,2,1,"SPK+3 (2 weekend, 1 libur nasional)"
Z001-2512-0001,"EMAS",HEAD OFFICE,2026-01-24,2026-01-09,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1JZ1-2510-0002,"TAMBAKAN BARU JALAN CAGAK",KARAWANG,2026-01-26,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2512-D2F4-R,"Toko EFG",HEAD OFFICE,2026-01-28,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
TZ01-2511-0004,"Permata Daru",BALARAJA,2026-01-31,2026-01-26,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
TZ01-2511-0004,"Permata Daru",BALARAJA,2026-01-31,2026-01-26,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2602-0000,"SPKTest",HEAD OFFICE,2026-02-17,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
Z001-2602-8989,"NewStore",HEAD OFFICE,2026-03-01,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2JZ1-2601-0005,"HOTEL CORDELA CIANJUR",CIANJUR,2026-03-09,2026-03-09,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2JZ1-2601-0005,"HOTEL CORDELA CIANJUR",CIANJUR,2026-03-09,2026-03-09,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2512-0007-R,"NANGABULIK",BANJARMASIN,2026-03-11,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2512-0007-R,"ALFAMART NANGA BULIK",BANJARMASIN,2026-03-11,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
TZ01-2512-0002-R,"GRAND TENJO 2",BALARAJA,2026-03-13,2026-03-13,Yes,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
TZ01-2512-0002-R,"GRAND TENJO 2",BALARAJA,2026-03-13,2026-03-13,Yes,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
1JZ1-2602-1J94-R,"MEDANGASEM",KARAWANG,2026-03-14,2026-03-16,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1JZ1-2602-1J6T-R,"RAYA MEDANGASEM",KARAWANG,2026-03-14,2026-03-16,Yes,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1GZ1-2508-0008,"TJILIK RIWUT LAMANDAU",BANJARMASIN,2026-03-15,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2508-0008,"TJILIK RIWUT",BANJARMASIN,2026-03-15,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1JZ1-2601-0002,"CIBEUNYING WANTILAN",KARAWANG,2026-03-16,2026-03-16,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1JZ1-2601-0002,"CIBEUNYING WANTILAN",KARAWANG,2026-03-16,2026-03-16,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1JZ1-2601-0003,"RAYA BELENDUNG",KARAWANG,2026-03-16,2026-03-17,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1JZ1-2601-0003,"RAYA BELENDUNG",KARAWANG,2026-03-16,2026-03-17,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
XZ01-2512-0002,"JL. MESJID RAWA GENI",BOGOR,2026-03-27,2026-05-15,Yes,44,7500000,46,7500000,2,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
