id,id_toko,link_pdf,created_at,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang
128,1088,https://drive.google.com/file/d/1ioASP59kpSBU-Y3tWoeq2iErqTRerNy8/view?usp=drivesdk,2026-05-21 14:00:14,1JZ1-2601-0001,ME,KALIJAYA,KARAWANG
106,1011,https://drive.google.com/file/d/1xs3G_IwFh2iq1d7RKBg5Y1rkP_9IU4Hn/view?usp=drivesdk,2026-04-29 09:09:45,1JZ1-2602-0001,ME,CISAMPIH,KARAWANG
186,1599,https://drive.google.com/file/d/1YhazDEtJzMePt6t__lLqF02ZG75vsO39/view?usp=drivesdk,2026-06-24 16:52:25.908384,1JZ1-2605-1J3U-R,SIPIL,PESONA KALANGSURIA,KARAWANG
243,1743,https://drive.google.com/file/d/1wk2jH6MEDQhDeTKlgHhBZif8UJm3H63P/view?usp=drivesdk,2026-06-30 19:14:21.99621,1MZ1-2603-0002,SIPIL,DS ARIA PUTRA,PARUNG
46,1447,https://drive.google.com/file/d/140XGywCCI-h51hum1RtA6eQIoEXjlKaD/view?usp=drivesdk,2026-06-15 13:02:52.195705,1YZ1-2604-0001,ME,WENANG MANADO,MANADO
131,1210,https://drive.google.com/file/d/10RDLy7htLU8z8LFBAGKznlVkHBhJvD7A/view?usp=drivesdk,2026-05-28 13:37:22,2AZ1-2602-0001,ME,ALFAMART KUDU,REMBANG
132,1218,https://drive.google.com/file/d/1Oz-rTrq_efHkmQTTKEH-IuLP8uJE_4NJ/view?usp=drivesdk,2026-05-28 13:37:22,2AZ1-2602-0001,SIPIL,ALFAMART KUDU,REMBANG
130,1331,https://drive.google.com/file/d/1O12i0GkJcbDi0wd0nUkj4uAmr26xQtlu/view?usp=drivesdk,2026-05-26 21:14:30,2AZ1-2603-0001,ME,SAT BUMIMULYO PATI,REMBANG
104,990,https://drive.google.com/file/d/1K4YnT1zYw7JIwnQN4j2VfziNg7kitxiB/view?usp=drivesdk,2026-05-06 07:37:01,2DZ1-2601-0002,ME,RUKO SP PLAZA,BATAM
103,975,https://drive.google.com/file/d/1AROo4CWKeNqxX15u5neOmBobEnzJXlqG/view?usp=drivesdk,2026-05-05 17:47:40,2DZ1-2601-0002,SIPIL,RUKO SP PLAZA,BATAM
112,1005,https://drive.google.com/file/d/16NFNH-gtR9m3lhvScKexfXLtqlZLW2v6/view?usp=drivesdk,2026-05-05 15:16:02,2DZ1-2601-0003-R,ME,Central Barelang,BATAM
111,1004,https://drive.google.com/file/d/1uGp4WYWSYe-m0OS3H015jSvd64KLqSWY/view?usp=drivesdk,2026-05-05 15:16:02,2DZ1-2601-0003-R,SIPIL,Central Barelang,BATAM
115,1367,https://drive.google.com/file/d/1WiSWYyROzSVs_eOyF5mWVepf9v1iHf0U/view?usp=drivesdk,2026-05-08 16:07:55,2PZ1-2508-0007,ME,MT Haryono Baru,TEGAL
116,1370,https://drive.google.com/file/d/1a9R4lMzNIayFqZc7xszu5g9fCE5iKt1R/view?usp=drivesdk,2026-05-08 16:07:55,2PZ1-2508-0007,SIPIL,MT HARYONO BARU,TEGAL
