nomor_ulok,nama_toko,cabang,st_rows,st_pdf_rows,sipil_st_pdfs,me_st_pdfs
1JZ1-2602-0001,CISAMPIH,KARAWANG,1,1,0,1
1JZ1-2602-1J6T-R,RAYA MEDANGASEM,KARAWANG,1,1,1,0
1JZ1-2602-1J94-R,MEDANGASEM,KARAWANG,1,1,1,0
1JZ1-2605-1J3U-R,PESONA KALANGSURIA,KARAWANG,1,1,1,0
1MZ1-2603-0002,DS ARIA PUTRA,PARUNG,1,1,1,0
1YZ1-2604-0001,WENANG MANADO,MANADO,1,1,0,1
2AZ1-2602-0001,ALFAMART KUDU,REMBANG,2,2,1,1
2AZ1-2603-0001,SAT BUMIMULYO PATI,REMBANG,1,1,0,1
2DZ1-2601-0002,RUKO SP PLAZA,BATAM,2,2,1,1
2DZ1-2601-0003-R,Central Barelang,BATAM,2,2,1,1
