cabang,nomor_ulok,nama_toko,lingkup_pekerjaan,id_toko,opname_final_id,tipe_opname,aksi,status_opname_final,tanggal_opname_final,opname_item_count,berkas_serah_terima_id,link_pdf_opname,link_pdf_serah_terima
BALARAJA,TZ01-2511-0003,DS PERTIGAAN JAHA,ME,2170,289,OPNAME_FINAL,terkunci,Disetujui,2026-02-24,21,,https://drive.google.com/file/d/19SBxdYzDcyb0yt5xpss-F6zBAyhOxJlH/view?usp=drivesdk,
BALARAJA,TZ01-2511-0003,DS PERTIGAAN JAHA,SIPIL,734,290,OPNAME_FINAL,terkunci,Disetujui,2026-02-09,51,,https://drive.google.com/file/d/1HdHSwSmZKM1-MlVpGHTq5PQBOBsG-pIh/view?usp=drivesdk,
BALARAJA,TZ01-2511-0004,Permata Daru,ME,768,291,OPNAME_FINAL,terkunci,Disetujui,2026-05-04,31,,https://drive.google.com/file/d/18_oQ7MHe3EIjnvXh6l9tqdSFJXkTLz5R/view?usp=drivesdk,
BALARAJA,TZ01-2511-0004,Permata Daru,SIPIL,767,292,OPNAME_FINAL,terkunci,Disetujui,2026-05-13,112,,https://drive.google.com/file/d/16lgc0nS1KQOWEhYW5qTPLRrWiju_xkrw/view?usp=drivesdk,
BALARAJA,TZ01-2512-0002-R,GRAND TENJO 2,ME,783,8,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-30,0,,https://drive.google.com/file/d/1yTsPx38aDO7PnI4YF0O_CJPKdBE_QfS7/view?usp=drivesdk,
BALARAJA,TZ01-2512-0002-R,GRAND TENJO 2,SIPIL,782,293,OPNAME_FINAL,terkunci,Disetujui,2026-05-20,119,,https://drive.google.com/file/d/1NM6ST_MAsj5F7qCGz_XDV1qdLTGET3uv/view?usp=drivesdk,
BALARAJA,TZ01-2601-0001,Bumi Indah 5,SIPIL,848,239,OPNAME,active,Proses KTK/Approval Kontraktor,2026-03-12,4,,,
BALARAJA,TZ01-2602-KC06-R,TMN PALEM LESTARI 3,SIPIL,861,240,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-17,44,,,
BALARAJA,TZ01-2603-A645-R,PARIGI PONDOK AREN,ME,1057,82,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2603-A645-R,PARIGI PONDOK AREN,SIPIL,1055,17,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-18,0,,,
BALARAJA,TZ01-2603-TC56-R,GOP 9,ME,1120,60,OPNAME_FINAL,terkunci,Menunggu Persetujuan Direktur Kontraktor,2026-06-02,9,,https://drive.google.com/file/d/1cK5pWPPYib0n_R0xxQsd2B0fxuBGpVI0/view?usp=drivesdk,
BALARAJA,TZ01-2603-TC56-R,GOP 9,SIPIL,1119,59,OPNAME_FINAL,terkunci,Menunggu Persetujuan Manajer,2026-06-02,8,,https://drive.google.com/file/d/1jg0EZdyGl5F1bNGHeG2RPmc-rq7pWP5M/view?usp=drivesdk,
BALARAJA,TZ01-2603-TE01-R,PALEM PURI,ME,1058,79,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2603-TE01-R,PALEM PURI,SIPIL,1053,78,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-11,0,,,
BALARAJA,TZ01-2604-0004,STA Jatake Jaha,ME,1512,308,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-26,27,,,
BALARAJA,TZ01-2604-0004,STA Jatake Jaha,SIPIL,1511,143,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,34,,,
