target_id,source_id,nomor_ulok,lingkup_pekerjaan,kategori_pekerjaan,jenis_pekerjaan,target_tanggal,source_tanggal,source_dokumentasi
42712,42641,Z001-3007-0102-R,SIPIL,PEKERJAAN PONDASI & BETON,"KOLOM BETON 15X30 CM CAMPURAN 1:2:3, TUL 8 Ø10 MM (TOLERANSI MINIMAL 9,6 MM), SENGKANG Ø6 MM (TOLERANSI MINIMAL 5,6 MM)- 150 MM",23/08/2026,20/08/2026,https://drive.google.com/file/d/1t7OxHZo4KIPxZ2oDB6wLZJmvNAEkxGPu/view?usp=drivesdk
42713,42640,Z001-3007-0102-R,SIPIL,PEKERJAAN SANITARY & ACECORIES,"FLOOR DRAIN KOTAK STAINLESS BERLUBANG UKURAN 5 MM, DIMENSI 10X10 CM",23/08/2026,20/08/2026,https://drive.google.com/file/d/1kkwVajAgfsXJHTTPfMh-U-rcFesnnW_C/view?usp=drivesdk
42714,42639,Z001-3007-0102-R,SIPIL,PEKERJAAN SANITARY & ACECORIES,MESIN POMPA SHIMIZU PC 375 BIT + OTOMATIS** KEDALAMAN SUMUR 40 M,23/08/2026,20/08/2026,https://drive.google.com/file/d/1Ijc98CZzgvGa5SQ9tjKD9k09EVgSoGTf/view?usp=drivesdk
42715,42576,Z001-3007-0102-R,SIPIL,PEKERJAAN PERSIAPAN,PAGAR PROYEK ( SENG + RANGKA ) H : 1.8 M,23/08/2026,17/08/2026,https://drive.google.com/file/d/1KElqjqNcwudOYrUHlMIr9fideRBxAPKO/view?usp=drivesdk
42716,42575,Z001-3007-0102-R,SIPIL,PEKERJAAN PONDASI & BETON,"COR BETON CAMPURAN 1:2:3 DUDUKAN BRANGKAS UKURAN 1X1X0,2 M CM TULANGAN BESI Ø 10 MM JARAK 15 CM DOUBLE + SELIMUT BRANGKAS TEBAL 10 CM TULANGAN Ø 8 MM JARAK 15 CM SINGLE (SESUAI GAMBAR TERUPDATE)",23/08/2026,17/08/2026,https://drive.google.com/file/d/1qS5DInoUjOneFNQEmBJl0S1nWURCn02B/view?usp=drivesdk
42717,42574,Z001-3007-0102-R,SIPIL,PEKERJAAN PONDASI & BETON,"BALOK BETON 15X25 CM STRUKTUR DAK CAMPURAN 1:2:3, TUL 6 Ø10 MM (TOLERANSI MINIMAL 9,6 MM), SENGKANG Ø8 MM (TOLERANSI MINIMAL 7,6 MM)-150MM -----> (LIHAT GAMBAR)",23/08/2026,17/08/2026,https://drive.google.com/file/d/1oJola1htkDM0mUQh3XIpdC18uWhOkiAW/view?usp=drivesdk
42718,42572,Z001-3007-0102-R,SIPIL,PEKERJAAN PONDASI & BETON,"COR PLAT LANTAI TEBAL 8 CM MUTU, WIREMESH M6 (TOLERANSI MINIMAL 5,5 MM)**UNTUK TANAH URUGAN DI ATAS 60 CM",23/08/2026,17/08/2026,https://drive.google.com/file/d/1o1zWAO2Y60JjcO6cMIrY8od0cZIJpzhk/view?usp=drivesdk
42719,32552,Z001-3007-0102-R,SIPIL,PEKERJAAN KERAMIK,PASANG KERAMIK KOLOM UNTUK KOLOM BEBAS UKURAN 30X30 CM MERK ASIA TILE / MULIA KW 1**NAT MENGGUNAKAN SEMEN (PORTLAND CEMENT),23/08/2026,13/08/2026,https://drive.google.com/file/d/1Vdun9xXjLWlu8vUwt-f8ECjnyj-Rm4_9/view?usp=drivesdk
42720,32551,Z001-3007-0102-R,SIPIL,PEKERJAAN KERAMIK,PASANG KERAMIK LANTAI KM/WC UKURAN 20X20 CM MERK ASIA TILE / MULIA KW 1 MOTIF KASAR**NAT MENGGUNAKAN SEMEN (PORTLAND CEMENT),23/08/2026,13/08/2026,https://drive.google.com/file/d/1q4t4vtD9473eNWPABlSGlE4-pw6lUaZ-/view?usp=drivesdk
42721,32550,Z001-3007-0102-R,SIPIL,PEKERJAAN KERAMIK,"PASANG KERAMIK LANTAI 40X40 MERK ASIA TILE / MULIA KW 1 UNTUK AREA SALES, GUDANG, & TERAS**NAT MENGGUNAKAN SEMEN (PORTLAND CEMENT)",23/08/2026,13/08/2026,https://drive.google.com/file/d/18Y11Cagvk5d90uHBMCZ3b5HyOuIwmWtw/view?usp=drivesdk
42722,32549,Z001-3007-0102-R,SIPIL,PEKERJAAN BESI,"CNP 150X50X20X3,2 MM INCLUDE ZINCHROMATE (TOLERANSI MINIMAL UKURAN 145X45X13X2,9 MM)",23/08/2026,13/08/2026,https://drive.google.com/file/d/1GAZthP7bugOZMIcAeyGyR8VbJFJ_I0Gh/view?usp=drivesdk
42723,32548,Z001-3007-0102-R,SIPIL,PEKERJAAN BESI,"WF 200X100X5,5X8 MM INCLUDE ZINCHROMATE (TOLERANSI MINIMAL UKURAN 195X95X5,2X7,7 MM)",23/08/2026,13/08/2026,https://drive.google.com/file/d/1TWCqJNnxN0c0LiaO75birNRZBbXoX6ZX/view?usp=drivesdk
42724,32547,Z001-3007-0102-R,SIPIL,PEKERJAAN BESI,MUR + BAUT BAJA M 16 UNTUK SAMBUNGAN BAJA,23/08/2026,13/08/2026,https://drive.google.com/file/d/1wqHAf-YPZQ-UFYn_426psQnwOxpOjham/view?usp=drivesdk
42725,32546,Z001-3007-0102-R,SIPIL,PEKERJAAN BESI,"TANGGA BAJA CNP 150X50X20X2,3 MM (TOLERANSI MINIMAL UKURAN 145X45X13X2 MM) DOUBLE, RANGKA TRAP BESI SIKU 40X40X4 MM (TOLERANSI MINIMAL UKURAN 35X35X3,7 MM), PLAT BORDES 2,3 MM (TOLERANSI MINIMAL 2 MM) INCLUDE ZINCHROMATE + CAT WARNA SILVER HAMMERTONE MERK AVIAN",23/08/2026,13/08/2026,https://drive.google.com/file/d/1zQmYfOQrAeYYddMzsJg1Rp2WdYDhdNFc/view?usp=drivesdk
42726,32545,Z001-3007-0102-R,SIPIL,PEKERJAAN PLUMBING,"INSTALASI PIPA PVC 4"" TIPE D WAVIN HORIZONTAL",23/08/2026,13/08/2026,https://drive.google.com/file/d/1KPLyeUZ4OdEg_YdcuBzp0tqFP1v3D0ey/view?usp=drivesdk
42727,32544,Z001-3007-0102-R,SIPIL,PEKERJAAN PLUMBING,INSTALASI AIR BERSIH PIPA PVC 3/4 INCH TIPE AW WAVIN / RUCIKA (INCLUDE AKSESORIS),23/08/2026,13/08/2026,https://drive.google.com/file/d/1bjFtGTiNvOIV_ueYFPESsFrNz2CStyv0/view?usp=drivesdk
42728,32543,Z001-3007-0102-R,SIPIL,PEKERJAAN PLUMBING,"INSTALASI PIPA PVC 4"" TIPE D WAVIN VERTIKAL + KLEM PIPA 4 INCHI (LIHAT DI CONTOH MATERIAL)",23/08/2026,13/08/2026,https://drive.google.com/file/d/15Y9sN-CujfIw4mo5lVGRP1mR3J3f83pz/view?usp=drivesdk
42729,32542,Z001-3007-0102-R,SIPIL,PEKERJAAN PLUMBING,INSTALASI AIR BERSIH PIPA PVC 1/2 INCH TIPE AW WAVIN / RUCIKA (INCLUDE AKSESORIS),23/08/2026,13/08/2026,https://drive.google.com/file/d/1NWYAiaMXzBzgTObF2r0GaYHVlCxM-0uy/view?usp=drivesdk
42730,32541,Z001-3007-0102-R,SIPIL,PEKERJAAN JANITOR,C. KRAN AIR MERK ONDA TIPE CLS.,23/08/2026,13/08/2026,https://drive.google.com/file/d/12qDtFGKa0FK9JcS4TcsMfhlBKK5QlNsd/view?usp=drivesdk
42731,32540,Z001-3007-0102-R,SIPIL,PEKERJAAN PASANGAN,"PLAFOND GYPSUM 9MM MERK APLUS / KNAUF + RANGKA HOLLOW GALVALUME KENCANA UKURAN 40X40X0,3 MM (TOLERANSI MINIMAL 35X35X0,27 MM) KOMBINASI 40X20X0,3 MM (TOLERANSI MINIMAL 35X15X0,27 MM) + KAWAT PENGGANTUNG BWG 12 (2,7 MM)",23/08/2026,13/08/2026,https://drive.google.com/file/d/1QIYKeN8XeQxyeihb1FCYOBzYDv3vYyaX/view?usp=drivesdk
42792,32539,Z001-3007-0102-R,SIPIL,PEKERJAAN PASANGAN,"PARTISI GYPSUM 9 MM DUA SISI MERK APLUS / KNAUF + RANGKA METAL STUD UKURAN 73X27 MM T: 0,4 MM (TOLERANSI MINIMAL T: 0,37 MM) KOMBINASI U RUNNER 75X30 MM T: 0,4 MM (TOLERANSI MINIMAL 0,37 MM)",23/08/2026,13/08/2026,https://drive.google.com/file/d/1QtEvRg_Gyafr7uCXUKp1_cwOk65c-Mn7/view?usp=drivesdk
42793,32538,Z001-3007-0102-R,SIPIL,PEKERJAAN PASANGAN,"PLAFOND GRC 4MM + RANGKA HOLLOW GALVALUME KENCANA UKURAN 40X40X0,3 MM (TOLERANSI MINIMAL 35X35X0,27 MM) KOMBINASI 40X20X0,3 MM (TOLERANSI MINIMAL 35X15X0,27 MM) + KAWAT PENGGANTUNG BWG 12 (2,7 MM)",23/08/2026,13/08/2026,https://drive.google.com/file/d/1szKATDmbEr6KDgIEiUc2xglQPtDijAUQ/view?usp=drivesdk
42794,32537,Z001-3007-0102-R,SIPIL,PEKERJAAN PASANGAN,"HANGER SPANDUK PIPA DIA. 1/2"" PIPA HITAM + ZINCHROMATE + CAT PUTIH",23/08/2026,13/08/2026,https://drive.google.com/file/d/1WpQU15COf0B5hCv93cgtKYZzbHgCzS8D/view?usp=drivesdk
