decision,reason,berkas_serah_terima_id,id_toko,st_created_at,link_pdf,nomor_ulok,nama_toko,cabang,lingkup_pekerjaan,opname_final_id,tipe_opname,opname_aksi,status_opname_final,total_opname_items,completed_items,covered_items,missing_items,in_migration_audit,migration_note
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,228,1219,2026-04-14 00:00:00,https://drive.google.com/file/d/1gdT6Q2epnZhFPGjqAvXDy2uoTZca3uNb/view?usp=drivesdk,2VZ1-2603-0002-R,TELLULIMPOE WAJO,LUWU,SIPIL,220,OPNAME,active,Proses KTK/Approval Kontraktor,5,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,230,1371,2026-06-11 00:00:00,https://drive.google.com/file/d/1V0gZpuVFLC7KNb3kTge2DaddopM9L3vJ/view?usp=drivesdk,2VZ1-2603-0004,TAMUKU LUWU UTARA,LUWU,ME,222,OPNAME,active,Proses KTK/Approval Kontraktor,30,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,231,1369,2026-06-11 00:00:00,https://drive.google.com/file/d/1nAQSFFQ7zLNeqb5iRKK7OZ5fC-3YvHpy/view?usp=drivesdk,2VZ1-2603-0004,TAMUKU LUWU UTARA,LUWU,SIPIL,223,OPNAME,active,Proses KTK/Approval Kontraktor,95,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,232,1341,2026-06-11 00:00:00,https://drive.google.com/file/d/10NFb-67ZLoppqWtRijnRcOtd3o55Fv0y/view?usp=drivesdk,2VZ1-2603-0006,LARA LUWU UTARA,LUWU,ME,224,OPNAME,active,Proses KTK/Approval Kontraktor,30,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,233,1337,2026-06-11 00:00:00,https://drive.google.com/file/d/1J0yEcDTMpSn27yPYpj_T03_3lwvSa-uC/view?usp=drivesdk,2VZ1-2603-0006,LARA LUWU UTARA,LUWU,SIPIL,225,OPNAME,active,Proses KTK/Approval Kontraktor,97,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,220,1126,2026-05-11 00:00:00,https://drive.google.com/file/d/1fpekrqDHFgShBdMVgCHorS31a7NwobmC/view?usp=drivesdk,2VZ1-2603-R353-R,AP PETTARANI WAJO,LUWU,ME,279,OPNAME_FINAL,terkunci,Disetujui,8,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,221,1125,2026-05-09 00:00:00,https://drive.google.com/file/d/1Sa0pUGni1X5lg7iYrbNugb3ed5LVwMNS/view?usp=drivesdk,2VZ1-2603-R353-R,AP PETTARANI WAJO,LUWU,SIPIL,280,OPNAME_FINAL,terkunci,Disetujui,6,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,222,1128,2026-05-11 00:00:00,https://drive.google.com/file/d/18yy35paZD8WMe6W1t-EojSuStziHbJbb/view?usp=drivesdk,2VZ1-2603-R531-R,TANCUNG WAJO,LUWU,ME,281,OPNAME_FINAL,terkunci,Disetujui,8,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,223,1127,2026-05-09 00:00:00,https://drive.google.com/file/d/1O0EmNmTS4FVYaCXzMExcthFpeqeq5ohO/view?usp=drivesdk,2VZ1-2603-R531-R,TANCUNG WAJO,LUWU,SIPIL,282,OPNAME_FINAL,terkunci,Disetujui,6,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,224,1133,2026-05-11 00:00:00,https://drive.google.com/file/d/1PIJDvQ-37Ji9pFgFq5LliZrGxJXcbGg4/view?usp=drivesdk,2VZ1-2603-R614-R,PANCA RIJANG SIDRAP,LUWU,ME,283,OPNAME_FINAL,terkunci,Disetujui,8,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,225,1132,2026-05-11 00:00:00,https://drive.google.com/file/d/1F09REHVTrTIXSUA381gTf6qEN0Wiimh2/view?usp=drivesdk,2VZ1-2603-R614-R,PANCA RIJANG SIDRAP,LUWU,SIPIL,284,OPNAME_FINAL,terkunci,Disetujui,6,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
KEEP_MIGRATION_LUWU,Dikecualikan karena LUWU batch migrasi lama 2VZ1-2603; ST diambil dari tanggal opname final sesuai arahan bisnis.,226,1130,2026-05-11 00:00:00,https://drive.google.com/file/d/1IulURobafIT7C7s9mJJPb6pv2nU6pzoq/view?usp=drivesdk,2VZ1-2603-R702-R,ULUGALUNG WAJO,LUWU,ME,285,OPNAME_FINAL,terkunci,Disetujui,8,0,0,0,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
