decision,reason,berkas_serah_terima_id,id_toko,st_created_at,link_pdf,nomor_ulok,nama_toko,cabang,lingkup_pekerjaan,opname_final_id,tipe_opname,opname_aksi,status_opname_final,total_opname_items,completed_items,covered_items,missing_items,in_migration_audit,migration_note
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",193,1312,2026-06-25 16:56:42,https://drive.google.com/file/d/1tyxuDKIY1C0EczoVUFfQADQanQXR3r8_/view?usp=drivesdk,IZ01-2601-0009,WR SUPRATMAN,CILACAP,SIPIL,254,OPNAME,active,Proses KTK/Approval Kontraktor,104,105,104,1,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",113,1019,2026-05-08 09:54:11,https://drive.google.com/file/d/17sX9p79_cRbeaBnjnS3V8Q2IBcvK0RPp/view?usp=drivesdk,IZ01-2602-0006,KALIDONAN,CILACAP,SIPIL,15,OPNAME,active,Proses KTK/Approval Kontraktor,0,60,0,60,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",139,1349,2026-06-22 08:44:52,https://drive.google.com/file/d/1GKQGyG0VquHGXwxxhgJBa3Lwn5h1cZhy/view?usp=drivesdk,2SZ1-2603-0005,BUSISINGO UTARA,GORONTALO,SIPIL,149,OPNAME,active,Proses KTK/Approval Kontraktor,3,66,3,63,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",183,1850,2026-06-24 09:43:47,https://drive.google.com/file/d/1vsHZo_E7eW2myLWhBh7Mb_-AbQ2LFEZ4/view?usp=drivesdk,Z001-2603-0003,Lantai 20,HEAD OFFICE,SIPIL,52,OPNAME,active,Proses KTK/Approval Kontraktor,1,3,1,2,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",125,1107,2026-05-23 12:59:13,https://drive.google.com/file/d/1rY-uk56lg4ttByOtgasKdjxiG-fO_c-H/view?usp=drivesdk,1DZ1-2601-0001-R,PANCURAN GADING,JAMBI,ME,199,OPNAME,active,Proses KTK/Approval Kontraktor,8,28,8,20,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",126,1108,2026-05-23 12:59:13,https://drive.google.com/file/d/111FRH66yziikcG-fHxZUT4TI0r9AyT3s/view?usp=drivesdk,1DZ1-2601-0001-R,PANCURAN GADING,JAMBI,SIPIL,209,OPNAME,active,Proses KTK/Approval Kontraktor,14,53,0,53,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",127,1083,2026-05-21 14:00:14,https://drive.google.com/file/d/1TYzl9uMIIXJwdG_SQihd6HK_wt3NR_b7/view?usp=drivesdk,1JZ1-2601-0001,KALIJAYA,KARAWANG,SIPIL,260,OPNAME_FINAL,terkunci,Disetujui,93,48,45,3,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",105,1009,2026-04-29 09:09:45,https://drive.google.com/file/d/1YcJgJoqDIcpbqzweQXEKQxx3Vfsv_NFi/view?usp=drivesdk,1JZ1-2602-0001,CISAMPIH,KARAWANG,SIPIL,257,OPNAME,active,Proses KTK/Approval Kontraktor,87,43,39,4,false,
DELETE_PREMATURE_ST,"LUWU tetapi bukan batch migrasi lama 2VZ1-2603; readiness normal gagal, jadi dianggap ST prematur/nyangkut.",235,1897,2026-06-19 00:00:00,https://drive.google.com/file/d/1JENvSk690RQ8tUWGeokA1G9_Iy3eTNbA/view?usp=drivesdk,2VZ1-2604-0008,BERINGIN SENGKANG,LUWU,SIPIL,136,OPNAME,active,Proses KTK/Approval Kontraktor,1,15,1,14,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
DELETE_PREMATURE_ST,"LUWU tetapi bukan batch migrasi lama 2VZ1-2603; readiness normal gagal, jadi dianggap ST prematur/nyangkut.",236,1907,2026-06-25 00:00:00,https://drive.google.com/file/d/1UTHygGEk3HGRHggph4FaTlBuqBeCKdDq/view?usp=drivesdk,2VZ1-2605-0001,ANDI MAKKASAU 2 SIDRAP,LUWU,SIPIL,205,OPNAME,active,Proses KTK/Approval Kontraktor,5,25,5,20,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
DELETE_PREMATURE_ST,"LUWU tetapi bukan batch migrasi lama 2VZ1-2603; readiness normal gagal, jadi dianggap ST prematur/nyangkut.",237,2045,2026-06-24 00:00:00,https://drive.google.com/file/d/1vKJeQjwCF-FglpJwPlhhHuce1Gepje8V/view?usp=drivesdk,2VZ1-2605-0008,SAKTI BUA,LUWU,SIPIL,197,OPNAME,active,Proses KTK/Approval Kontraktor,4,6,4,2,true,Fix dokumen ST migrasi LUWU dari tanggal opname final
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",137,1213,2026-06-17 14:59:08,https://drive.google.com/file/d/10jgx11s8N0spXBsCed5Aa66TzIH-4L43/view?usp=drivesdk,UZ01-2602-0010,KPG OESAPA BARU,NTT,SIPIL,241,OPNAME,active,Proses KTK/Approval Kontraktor,1,37,0,37,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",110,1276,2026-05-04 10:41:55,https://drive.google.com/file/d/1Wp5C6uYGc-pUx6rCMQ8DTbQIPSRGWa2J/view?usp=drivesdk,UZ01-2603-0011,KPG OESAPA SELATAN,NTT,ME,242,OPNAME,active,Proses KTK/Approval Kontraktor,2,30,2,28,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",242,1743,2026-06-30 18:01:19,https://drive.google.com/file/d/1jWV9vvjqG6D3bupi-CEsxVdUKKCvIDsm/view?usp=drivesdk,1MZ1-2603-0002,DS ARIA PUTRA,PARUNG,SIPIL,326,OPNAME,active,Proses KTK/Approval Kontraktor,18,4,1,3,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",129,1321,2026-05-26 21:14:30,https://drive.google.com/file/d/1f8uiFh_eOauD_ISaWKgwfQbxSSjSsnAd/view?usp=drivesdk,2AZ1-2603-0001,SAT BUMIMULYO PATI,REMBANG,SIPIL,217,OPNAME,active,Proses KTK/Approval Kontraktor,2,52,2,50,false,
DELETE_PREMATURE_ST,"Bukan pengecualian migrasi LUWU; readiness normal gagal, jadi ST dianggap prematur/nyangkut.",199,1479,2026-06-29 11:56:01,https://drive.google.com/file/d/15GA9CBki0fOnsvat3x2TVEkAQkbQUQor/view?usp=drivesdk,HZ01-2604-H168-R,UNTUNG SUROPATI SMG,SEMARANG,SIPIL,312,OPNAME,active,Proses KTK/Approval Kontraktor,29,7,0,7,false,
