"id","kode","cabang","alamat"
1,TZ01,BALARAJA,"Jl. Arya Jaya Santika No. 19 Kp.Seglok  Desa Pasir Bolang Kec.Tigaraksa, Tangerang 15720 Banten"
2,"2GZ1",SERANG,"Jl Raya Cilegon Km.3 Legok, Tegal Padang RT3 RW4 Kel. Drangong Kec. Taktakan Kota Serang 42162"
3,KZ01,CIKOKOL,"Jl. Mh Thamrin No. 9 Cikokol – Tangerang 15117, Banten"
4,"1MZ1",PARUNG,"Jl Raya Gunung Sindur RT010 RW005 Kp.tulang Kuning Desa Waru Kec.Parung Kab.Bogor, Jawa Barat"
5,JZ01,CILEUNGSI_2,"Kawasan Industri Menara Permai Kav. 18 Jl.Raya Narogong Km. 23,8 Cibubur – Cileungsi 16820 Jawa barat"
6,XZ01,BOGOR,Jl Raya Pemda – Keradenan RT04 RW10 Kel.Keradenan Kec.Cibinong Bogor
7,CZ01,BEKASI,"Kawasan Industri jababeka 2, Jl Industri Selatan VI Blok PP No.6 – Jababeka Industrial Estate, Cikarang Jawa Barat"
8,"1JZ1",KARAWANG,Jl Alternatif Tanjung Pura – Klari RT017 RW004 Desa Margasari Kec.Karawang Timur Kab.Karawang 41351
9,"2JZ1",CIANJUR,"Jl Raya Sukabumi – Cianjur, Bunisari, Warung Kondang, Cianjur – Jawa Barat"
10,VZ01,PLUMBON,"Jl  Pangeran Antasari Blok Kebuyan RT013 RW005, Desa Lurah Kec.Plumbon Kab.Cirebon"
11,BZ01,BANDUNG,"Jl Soekarno Hatta No 791 Cisaranten Wetan, Bandung  40294, Jawa Barat"
12,IZ01,CILACAP,"Jl MT Haryono No.168 Kawasan Industri Cilacap 53221, Jawa Tengah"
13,OZ01,KLATEN,JL. Raya Solo – Yogya Km 21 Dusun Kaliwingko Desa Banaran  Kec.Delanggu Kab.Klaten Jawa Tengah
14,"2PZ1",TEGAL,"JL. Lingkar Slawi, Paguyangan Penusupan, Kec. Pangkah, Tegal, Jawa Tengah 52471"
15,"2AZ1",REMBANG,Jl. Raya Rembang Lasem Km. 3 Desa Pasar Banggi Kec.Rembang Kab.Rembang 59251 Jawa Tengah
16,HZ01,SEMARANG,"Kawasan Industri Tugu Wijaya Kusuma JL. Industri 1 No 1 Randu Garut, Tugu – Semarang 50010 Jawa Tengah"
17,QZ01,BALI,"JL. IB MANTRA, LINK. SIYUT,BANJAR TULIKUP. KEC. GIANYAR,"
18,"1SZ1",LOMBOK,"Jl TGH Saleh Hambali Km 20 Dasan Cermen Sandubaya, Mataram 83123"
19,"2MZ1",MADIUN,Jl. Raya Nganjuk - Madiun RT 13 RW 04 Desa Bongsopotro Kec. Saradan Kab. Madiun - 63155
20,UZ01,SIDOARJO,Jl. Raya Sukodono 45 Desa Keboansikep RT09 RW03 Kec.Gedangan Kab.Sidoarjo Jawa Timur 61254
21,YZ01,JEMBER,"Jl, Brawijaya No. 55 - Komplek Redjo Agung RT 01 RW 12 Kel.Mangli  Kec.Kaliwates, Jember Jawa Timur"
22,MZ01,MALANG,"Jl Raya Singosari Km 16, Desa Losari Kec.Singosari Kab.Malang Jawa Timur"
23,"1PZ1",PONTIANAK,"Jl. Mayor Alianyang Kawasan Pergudangan Modern Borneo Bussiness Icon, Kav E1 Desa Durian Kec. Sungai Ambawang Kab. Kubu Raya"
24,"1GZ1",BANJARMASIN,Jl.Raya Nusa Indah Rt.05 Rw.02 Desa Nusa Indah Kec.Bati-bati Kab.Tanah Laut Kalimantan Selatan Kode Pos 70852
26,"2VZ1",LUWU,"JL POROS PALOPO, Desa Toddopuli, Kec Bua Kab Luwu Sulawesi Selatan Kode pos 91991"
27,RZ01,MAKASSAR,"Jl Kimia 8 Blok SS No.23, Kawasan Industri Makasar – Makasar 90241, Sulawesi Selatan"
28,"2SZ1",GORONTALO,"Pt sumber alfaria trijaya tbk, JRXV+J44, Datahu, Kec. Tibawa, Kabupaten Gorontalo, Gorontalo - 96251"
29,"1YZ1",MANADO,Jl Raya Worang By pass Desa Karegesan Kec. Kauditan Kab. Minahasa Utara Provinsi Minahasa Utara
30,"1DZ1",JAMBI,"Jl Lintas Jambi Palembang Km 13,8 Kel.Pondok Meja Kec.Mestong, Kab.Muaro Jambi 36361"
31,"2DZ1",BATAM,Jl. Mas Surya Negara VI NO. 03 Kawasan Industri Terpadu Kabil 3 Nongsa Kabil Lagoi Batam - Kepulauan Riau 29467
32,LZ01,LAMPUNG,"Jl Soekarno Hatta RT001 RW01 Kel.Campang Raya Kec.Tanjung Karang Timur, Bandar Lampung 35122"
33,"1AZ1",PEKANBARU,"Jl. Siak 2 Air Hitam No 26, RT02 RW09 Kel. Simpang Baru Kec. Tampan, Pekanbaru 28193"
34,WZ01,MEDAN,"Jl. Kawasan Industri No. 99 S Tanjung Morawa, Deli Serdang – Medan 20362"
35,PZ01,PALEMBANG,"Jl. Tembus Terminal Alang- Alang Lebar, RT12 RW05 Kel. Talang Kelapa Kec. Alang – Alang Lebar Palembang 30154"
25,"1GYX",PALANGKARAYA,Jl.Raya Nusa Indah Rt.05 Rw.02 Desa Nusa Indah Kec.Bati-bati Kab.Tanah Laut Kalimantan Selatan Kode Pos 70852
36,PY06,BENGKULU,"Jl. Tembus Terminal Alang- Alang Lebar, RT12 RW05 Kel. Talang Kelapa Kec. Alang – Alang Lebar Palembang 30154"
