"id","id_gantt","id_kategori_pekerjaan_gantt","h_awal","h_akhir","keterlambatan","kecepatan"
2412,46,2427,"1","2","",""
2413,46,2428,"3","4","",""
2414,46,2429,"5","7","",""
873,69,883,"1","48","",""
874,69,884,"2","10","",""
875,69,885,"6","12","",""
876,69,886,"8","22","",""
877,69,887,"20","48","",""
878,69,888,"15","48","",""
879,69,889,"35","47","",""
880,69,890,"18","40","",""
881,69,891,"30","47","",""
882,69,892,"40","47","",""
883,69,893,"30","35","",""
884,69,894,"38","48","",""
885,69,895,"28","48","",""
886,69,896,"28","48","",""
887,69,897,"30","48","",""
888,70,898,"1","48","",""
889,70,899,"1","48","",""
890,70,900,"1","48","",""
370,37,397,"1","2",,
371,37,398,"1","2",,
372,37,399,"3","3",,
373,37,400,"17","18",,
374,37,401,"2","10",,
375,37,402,"10","17",,
376,37,403,"16","20",,
377,37,404,"18","20",,
378,39,405,"1","10",,
379,39,406,"5","20",,
380,39,407,"15","20",,
1791,87,1789,"1","2","",""
1792,87,1790,"2","8","",""
1793,87,1791,"8","9","",""
1794,87,1792,"10","15","",""
1795,87,1793,"14","23","",""
1796,87,1794,"19","22","",""
1797,87,1795,"20","25","",""
1798,87,1796,"18","24","",""
1799,87,1797,"24","25","",""
1800,87,1798,"14","22","",""
1801,87,1799,"18","30","",""
255,27,251,"2","2",,
256,27,252,"3","4",,
257,27,253,"5","5",,
258,27,254,"7","7",,
259,27,255,"9","10",,
1802,87,1800,"26","30","",""
2415,46,2430,"8","11","",""
2416,46,2431,"11","14","",""
2417,46,2431,"24","26","",""
2418,46,2432,"15","17","",""
2419,46,2433,"21","23","",""
270,28,266,"1","3",,
271,28,267,"3","5",,
272,28,268,"6","9",,
273,28,269,"8","12",,
274,28,270,"7","12",,
275,28,271,"12","13",,
276,28,272,"12","13",,
277,28,273,"10","13",,
278,28,274,"11","13",,
279,28,275,"12","11",,
407,40,434,"1","45",,
408,40,435,"6","12",,
409,40,436,"8","20",,
410,40,437,"20","45",,
411,40,438,"14","45",,
290,29,286,"1","3",,
291,29,287,"2","4",,
292,29,288,"4","6",,
293,29,289,"7","11",,
294,29,290,"8","12",,
295,29,291,"7","7",,
296,29,292,"6","12",,
297,29,293,"11","13",,
298,29,294,"12","14",,
299,29,295,"13","11",,
2420,46,2434,"7","9","",""
301,31,312,"10","16",,
302,31,313,"15","20",,
303,31,314,"18","20",,
412,40,439,"28","40",,
413,40,440,"30","43",,
414,40,441,"23","45",,
415,40,442,"30","43",,
416,40,443,"35","45",,
417,40,444,"25","31",,
418,40,445,"38","45",,
419,40,446,"2","11",,
