"id","id_gantt","id_kategori","id_kategori_terikat"
1798,46,2428,2427
1799,46,2429,2428
1249,125,1681,1680
197,29,287,286
1800,46,2430,2429
199,31,313,312
200,31,314,313
1250,125,1682,1681
1277,128,1712,1711
1278,128,1713,1712
1279,128,1714,1713
1280,128,1715,1714
1281,128,1716,1715
1282,128,1717,1716
208,33,325,324
209,33,326,325
1283,128,1718,1717
211,34,330,329
942,98,1299,1298
943,98,1300,1299
958,99,1322,1321
959,99,1323,1322
985,102,1354,1353
986,102,1355,1354
996,104,1368,1366
997,104,1369,1367
998,104,1369,1368
999,104,1370,1369
1000,104,1371,1370
1001,104,1373,1371
1002,104,1373,1372
1003,104,1375,1373
1004,104,1375,1374
1284,128,1719,1718
1285,128,1720,1719
1286,128,1721,1720
180,27,253,251
181,27,253,252
182,27,254,253
183,27,255,254
376,48,585,584
377,48,586,585
378,48,587,586
379,48,588,587
380,48,589,588
381,48,590,589
190,28,267,266
191,28,268,267
192,28,269,268
193,28,270,269
194,28,271,270
195,28,272,271
382,49,592,591
383,49,593,592
1287,128,1722,1721
1288,128,1723,1722
1801,46,2431,2430
245,32,389,388
246,32,390,389
247,32,391,390
248,32,392,391
249,32,393,392
250,32,394,393
251,32,395,394
252,37,398,397
253,37,399,398
254,37,400,399
255,37,401,400
256,37,402,401
257,37,403,402
258,37,404,403
259,39,406,405
260,39,407,406
275,41,463,462
276,41,464,463
277,41,465,464
278,41,466,465
279,41,467,466
280,41,468,467
281,41,469,468
282,41,470,469
283,41,471,470
284,41,472,471
285,41,473,472
286,41,474,473
287,41,475,474
288,41,476,475
1289,128,1725,1723
1802,46,2432,2431
1803,46,2437,2432
1804,46,2435,2433
1805,46,2436,2435
1806,46,2438,2437
1807,46,2439,2438
1808,46,2440,2439
1811,171,2446,2445
1812,171,2447,2446
1813,171,2448,2447
317,44,510,509
318,44,511,510
319,36,513,512
320,36,514,513
321,36,516,515
322,36,517,516
323,36,518,517
324,36,519,518
325,36,520,519
326,36,521,520
327,36,522,521
328,36,523,522
329,36,524,523
330,36,525,524
331,36,526,525
332,36,527,526
333,36,528,527
1005,104,1376,1375
1038,108,1416,1415
1039,108,1417,1416
1040,108,1418,1417
1041,108,1419,1418
1042,108,1420,1419
1043,108,1421,1420
650,71,918,917
651,71,919,918
652,71,920,919
653,71,921,920
654,71,922,921
655,71,923,922
656,71,924,923
657,71,925,924
658,71,926,925
659,71,927,926
660,72,929,928
661,72,930,929
662,72,931,930
663,72,932,931
664,72,933,932
665,72,934,933
666,72,935,934
667,72,936,935
668,72,937,936
669,72,938,937
1044,108,1422,1421
1045,108,1423,1422
672,74,943,942
673,74,944,943
674,74,945,944
675,74,946,945
676,74,947,946
677,74,948,947
678,74,949,948
679,74,950,949
680,74,951,950
681,74,952,951
682,74,953,952
683,74,954,953
684,74,955,954
1046,108,1424,1423
1047,108,1425,1424
1048,108,1426,1425
1049,108,1427,1426
1050,108,1428,1427
699,75,972,971
700,75,973,972
1092,42,1489,1488
1093,42,1490,1489
701,75,974,973
702,75,975,974
703,75,976,975
704,75,977,976
705,75,978,977
706,75,979,978
707,75,980,979
708,75,981,980
709,75,982,981
710,75,983,982
711,75,984,983
712,75,985,984
713,76,987,986
714,76,988,987
715,73,990,989
716,73,991,990
717,77,993,992
718,77,994,993
719,77,995,994
720,77,996,995
721,77,997,996
722,77,998,997
723,77,999,998
724,77,1000,999
725,77,1001,1000
726,77,1002,1001
727,77,1003,1002
728,77,1004,1003
729,77,1005,1004
730,77,1006,1005
1251,126,1684,1683
1252,126,1685,1684
733,45,1022,1021
734,45,1023,1022
735,45,1024,1023
736,45,1025,1024
737,45,1026,1025
738,45,1027,1026
739,45,1028,1027
740,45,1029,1028
741,45,1030,1029
742,45,1031,1030
743,45,1032,1031
744,45,1033,1032
745,45,1035,1033
746,45,1037,1036
747,45,1034,1037
944,79,1302,1301
945,79,1303,1302
750,81,1042,1041
751,81,1043,1042
752,81,1044,1043
753,81,1045,1044
754,81,1046,1045
755,81,1047,1046
756,81,1048,1047
757,81,1049,1048
758,81,1050,1049
960,100,1325,1324
961,100,1326,1325
962,100,1327,1326
963,100,1328,1327
964,100,1329,1328
965,100,1330,1329
966,100,1331,1330
