"id","id_toko","id_rab_item","status","volume_akhir","selisih_volume","total_selisih","desain","kualitas","spesifikasi","foto","catatan","created_at","id_opname_final","total_harga_opname"
290,783,2119,pending,4,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1HHQRamLXzW1bYEqnsRPbsrBrdpMbD0KQ/view?usp=drivesdk,sudah terpasang dengan baik,2026-04-30 14:59:59.118,8,1060000
291,1249,22926,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1j4ayhNGC2sBWszZMxsxkyCdtRznA6Ub6/view?usp=drivesdk,Sudah dibongkar sesuai pekerjaan,2026-05-04 16:23:37.677,9,5000000
292,1249,22924,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/18HR9evIajgseEEtCIjzqe6lnfFK1cPRA/view?usp=drivesdk,Sudah dibersihkan Area salesnya,2026-05-04 16:24:23.396,9,9000000
293,936,8210,pending,2,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1iOpGafDtZlEPY8FIBy_eJk7fHQPcN0Vv/view?usp=drivesdk,,2026-05-06 10:40:59.922,10,484000
294,936,8211,pending,30,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1sRvWdIjiQ6B1cobUSm72j7E5v8gXuQLh/view?usp=drivesdk,,2026-05-06 10:46:44.090,10,4695000
295,936,8212,pending,4,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/11u44D9wlcf0zbJujJrI-rC8LcERctwwb/view?usp=drivesdk,,2026-05-06 10:47:31.711,10,1426800
296,936,8214,pending,10,3,502500,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1BN67xtCqN1g4gIhP9Qhxsr6vr3OgWi8F/view?usp=drivesdk,,2026-05-06 10:52:15.065,10,1675000
297,936,8216,pending,2,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/10kpyaePorxl6lvajFzdHmhdIOGvYssN7/view?usp=drivesdk,,2026-05-06 10:52:42.387,10,365400
298,936,8213,pending,8,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/12e4YtiZQC_IqnflVOSH5blOV1AB8eUXc/view?usp=drivesdk,,2026-05-06 10:53:42.687,10,3362400
299,936,8215,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1TltKZW6KUqDhx79S8pcUP5KjH4NYAil0/view?usp=drivesdk,,2026-05-06 10:54:10.940,10,373000
300,936,8217,pending,2,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1zpB5GKwfoD1fnAKVUiuwGTCjw5jMq2Ag/view?usp=drivesdk,,2026-05-06 10:54:49.560,10,520800
301,936,8218,pending,0,-1,-362400,Tidak Sesuai,Tidak Baik,Tidak Sesuai,https://drive.google.com/file/d/1pWREq0tb3JAhNrCaRPrsLAKVAYOXAcHM/view?usp=drivesdk,,2026-05-06 10:55:16.386,10,0
302,936,8219,pending,4,1,85600,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1Czm7P2_Cj3bvTN5HdfSIo6xo63dlq15k/view?usp=drivesdk,,2026-05-06 10:55:43.365,10,342400
303,936,8220,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1mWMNcmZ1Q7zLNMF3SSamPlsw3tS4TPh9/view?usp=drivesdk,,2026-05-06 10:56:06.545,10,324800
304,936,8221,pending,4,1,143000,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1paodW-CIG7N0Rz5lOW8lUgwxzEeNp8s_/view?usp=drivesdk,,2026-05-06 10:56:42.965,10,572000
305,936,8222,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1waGkTT0uK3cC6DBnKPwPccsuEDm7_7az/view?usp=drivesdk,,2026-05-06 10:57:10.887,10,558200
306,936,8223,pending,1,0,0,Sesuai,Baik,Sesuai,https://drive.google.com/file/d/1wPUmqpksUuoJwXO-getUcJzM6BhoY3HM/view?usp=drivesdk,,2026-05-06 10:57:43.642,10,515000
