"id","id_toko","status","nama_pt","link_pdf_gabungan","link_pdf_non_sbo","link_pdf_rekapitulasi","logo","email_pembuat","pemberi_persetujuan_direktur","waktu_persetujuan_direktur","pemberi_persetujuan_koordinator","waktu_persetujuan_koordinator","pemberi_persetujuan_manager","waktu_persetujuan_manager","alasan_penolakan","durasi_pekerjaan","kategori_lokasi","luas_bangunan","luas_terbangun","luas_area_terbuka","luas_area_parkir","luas_area_sales","luas_gudang","grand_total","grand_total_non_sbo","grand_total_final","created_at","link_pdf_sph","waktu_penolakan","no_sph","no_polis","berlaku_polis","file_asuransi","ditolak_oleh"
835,1535,Menunggu Persetujuan Direktur,PT HANIF TUNGGAL MANDIRI,https://drive.google.com/file/d/1qToML2qq62tyNsDyEAVkC8-f5C82H6sE/view?usp=drivesdk,https://drive.google.com/file/d/1B0AAYhITtpQB5h1uLL9ck3CfuaiPriXe/view?usp=drivesdk,https://drive.google.com/file/d/1jowlCT7A9e-3rLjVriBmwayT3_XbRV_c/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1QZOG0PuVBgJCgxEvVA_6U0qeCrmzs-Dv,pthaniftmbdg@gmail.com,,,,,,,,"45",NON RUKO,"282.81","360.94","156.27","183.21","122.95","62.66","756962619","756962619","840225600",2026-05-07 19:17:32.408,https://drive.google.com/file/d/1xJW6fhpV_LabY7hWBLcvR7kk6tLjZeXE/view?usp=drivesdk,,"5517","10.03.04.25.11.0.00066","2026-11-04",https://drive.google.com/uc?export=download&id=1go-EloBIOV2hTKVfdbUDh5X4v46PweBM,
781,1481,Ditolak oleh Koordinator,CV SINAR ANUGRAH,https://drive.google.com/file/d/1UBGJU9pvyvxUxWUQqgCfgYgdSQpkOCvV/view?usp=drivesdk,https://drive.google.com/file/d/1W9iPC5HPkUvX_6PlrIlkO3izaGYEBG3i/view?usp=drivesdk,https://drive.google.com/file/d/1yY5Da8GgEI609nswKzzParRPS6sC8RDo/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1ZD0-PBCk4wnBQEUZgziG3E9PSxpC5bmc,cv_sinaranugrah@yahoo.com,cv.insanmandiri@gmail.com,2026-05-05 10:42:41.779,,,,,"Pekerjaan plat bordes 2,3 mm belum diinput di SPARTA","39",NON RUKO,"257.73","306.74","98.01","46.65","102","48.34","555188340","555188340","616249800",2026-05-04 13:01:48.434,https://drive.google.com/file/d/1qrQKD6LOEVa2O6u-9N0k4ukk5QD3PBI2/view?usp=drivesdk,2026-05-05 11:14:15.762,"1347","2501261/QS-PA/PP/X/2025","2026-10-26",https://drive.google.com/uc?export=download&id=1yRQwmQ1-W_XwsAUeB2jXg5hP2u0FFNHF,ukik.djumiyanto@sat.co.id
783,1483,Disetujui,CV TANJUNG MEKARSARI,https://drive.google.com/file/d/1McrTEF0d_RnKo75bl7CqkdXm4gR7ve2l/view?usp=drivesdk,https://drive.google.com/file/d/1K6fpHxD-gGSV261L1q9e3_78_ErTp6eJ/view?usp=drivesdk,https://drive.google.com/file/d/16uIrarAzbDPRz4G6IoakMu2FnSQYx1lT/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1pjLXFCQOBobFDPTjZrZFEcyYBY5vmYSQ,tanjungmekarsari@gmail.com,tanjungmekarsari@gmail.com,2026-04-30 16:36:58.209,chairul.komarullah@sat.co.id,2026-04-30 16:46:46.169,firman.soleh@sat.co.id,2026-05-04 08:50:24.698,,"21",NON RUKO,"193.4","343.03","299.27","292","122.58","21.44","115954200","115954200","128704500",2026-04-30 16:35:55.820,https://drive.google.com/file/d/1JTAfL8hWLK-SDLdO1CwI1tKS8atI1T7s/view?usp=drivesdk,,"2393","10.03.04.25.11.0.000.76","2026-11-04",https://drive.google.com/uc?export=download&id=1VwAheSX0Xchir6sNYPasX7bPKsQjpQEe,
2008,1260,Disetujui,CV SANTOSA BUDI JAYA,https://drive.google.com/file/d/1UfsDGkJMp566XAqbPtFpXOooWncUGp7k/view?usp=drivesdk,https://drive.google.com/file/d/1A0ua3W062O1wk5NUIJ-sb8rf3uoQnXqK/view?usp=drivesdk,https://drive.google.com/file/d/1IWSlLNO1qehIJjdykFQlI0wLCTCOH1X-/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1d4ONz-HTT7KWEbXzueHviEvif-ektyXJ,santosabudijaya@yahoo.co.id,santosabudijaya@yahoo.co.id,2026-05-07 11:19:40.954,rahmad.s.damanik@sat.co.id,2026-05-07 11:38:29.630,handris.purwa@sat.co.id,2026-05-07 13:14:33.401,,"40",RUKO,"315","315.00","0","137","250","65","264547718","264547718","293639400",2026-05-07 06:19:20.275,https://drive.google.com/file/d/1USJGehN2UU2LzfXsHNK6ItHE6tCn72lz/view?usp=drivesdk,,"5156","325102204089047","2026-05-09",https://drive.google.com/uc?export=download&id=12f7axaVIR82VACMf2TG9jNFRWrQajmn2,
785,1485,Disetujui,CV TANJUNG MEKARSARI,https://drive.google.com/file/d/12eKKtVnvaZ1Sl0zf1SJHT-V2d8ZnTd7e/view?usp=drivesdk,https://drive.google.com/file/d/1r4DizRiQ772h1oliQyg5W1zf3IHwYfUd/view?usp=drivesdk,https://drive.google.com/file/d/1q6F0RVRfyCpyL_Cm82AaYGmPYrime0kt/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1W9x61BfbA7M8t6fS5y8cvKSUUL9WCu2p,tanjungmekarsari@gmail.com,tanjungmekarsari@gmail.com,2026-04-30 14:14:13.485,chairul.komarullah@sat.co.id,2026-04-30 15:06:25.657,firman.soleh@sat.co.id,2026-05-04 08:50:54.323,,"21",NON RUKO,"193.4","343.03","299.27","291","122.58","21.44","4293750","4293750","4761900",2026-04-30 14:11:25.008,https://drive.google.com/file/d/1PkdCbdm6MDOS9KpAt18gjjxXSql4q2fr/view?usp=drivesdk,,"1738","10.03.04.25.11.0.000.76","2026-11-04",https://drive.google.com/uc?export=download&id=1koaEUQLSrAIvhFRpkuOH1K51_dhjP7zX,
786,1486,Disetujui,CV SINAR ANUGRAH,https://drive.google.com/file/d/1UPYgChhBYtjEQNyO4gSkOr94ZO2XCGws/view?usp=drivesdk,https://drive.google.com/file/d/1v4XTzr0usA8fGjQFJ1sHExcmOTrNYjD9/view?usp=drivesdk,https://drive.google.com/file/d/1ZaZwkcFY4HtfiKNIcHZv0cqBEY6FaPPi/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=15l55xsVUzhk-ZL5iO0c8EwGzMWOc8YMr,cv_sinaranugrah@yahoo.com,sinaranugrah1945@gmail.com,2026-04-30 19:35:43.859,ukik.djumiyanto@sat.co.id,2026-04-30 22:29:10.178,kokok.watmoko@sat.co.id,2026-05-01 05:47:34.646,,"40",RUKO,"257.73","306.74","98.01","47.65","102","48.34","28888635","28888635","32056800",2026-04-30 14:19:19.840,https://drive.google.com/file/d/1tgg9moV_OtGunjfWWsU04QDa598E_lfC/view?usp=drivesdk,,"2153","2501261/QS-PA/PP/X/2025","2026-10-26",https://drive.google.com/uc?export=download&id=1o9xIVgBT-w9JigGw1y6X73ebQpTd6Lod,
1755,1007,Menunggu Persetujuan Koordinator,CV PUTRA KALI AMANDIT,https://drive.google.com/file/d/1BKqVw83n5FZ28eVSSJ6cbDKoq4hDyT91/view?usp=drivesdk,https://drive.google.com/file/d/1mvHYVbRYfayckDy6vkl0DGmChtUpp9yG/view?usp=drivesdk,https://drive.google.com/file/d/1FQRDPb7-FCdYBoCwGnpP5XFzzszs4XjC/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1gJvisurr9L3X48ToOiFjURdgBIC59l6b,cvputrakaliamandit@gmail.com,cvputrakaliamandit@gmail.com,2026-05-08 10:06:06.672,,,,,,"48",NON RUKO,"309.2","461.31","304.22","156.5","142.73","103.59","336683587","336683587","373714800",2026-05-08 09:58:06.778,https://drive.google.com/file/d/1fJQOrgXBbJj_N2mw2bJWCJI5rpiquhH7/view?usp=drivesdk,,"1287","10.03.04.25.11.0.00057","2026-11-01",https://drive.google.com/uc?export=download&id=1655LDb913VA48x_NKdZNh-QJHSJ3ozZx,
787,1487,Disetujui,CV SINAR ANUGRAH,https://drive.google.com/file/d/18xqEDtO7e_ThSCGciXNVGmGlY2OcV2hH/view?usp=drivesdk,https://drive.google.com/file/d/16cQZamg9yO8_p82t93RCRtNfiwqNriOI/view?usp=drivesdk,https://drive.google.com/file/d/1fG0xwI9g1DHAP9O1QTHP1QdMa_zSAWPl/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1mWDqX0x8KrIYgmPaRvK8Z4lQAF8ParQ4,cv_sinaranugrah@yahoo.com,sinaranugrah1945@gmail.com,2026-05-06 11:19:04.895,rachmat.a.a.jaya@sat.co.id,2026-05-06 12:55:11.309,didik.darmadi@sat.co.id,2026-05-06 15:36:32.131,,"21",RUKO,"272.2","520","495.6","520","128","51","27207400","27207400","30192000",2026-05-05 19:53:48.429,https://drive.google.com/file/d/1_9R_ctnRxNHZvafmaE94F1uiT02__dV4/view?usp=drivesdk,,"6161","2501261/QS-PA/PP/X/2025","2026-10-26",https://drive.google.com/uc?export=download&id=1AL2SAFbys7IrCP78l3TGFG5xZ7BPIViK,
855,1555,Disetujui,CV TIGA PUTRA ABADI SENTOSA,https://drive.google.com/file/d/1wG-SCYOIOXXnOqZgr-DiLAZTRk3Ml8er/view?usp=drivesdk,https://drive.google.com/file/d/1KlU_b1aHbtgIdHbDqxR3d5FBPdHsg0h-/view?usp=drivesdk,https://drive.google.com/file/d/143AfdwnT2MxHXb2p6_ekPcmGc-8FZsM3/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1mg-l4OYzAcBkGhI0SuXtcNDEaVErVmxa,tigaputraabadisentosa@gmail.com,tigaputraabadisentosa@gmail.com,2026-05-07 15:26:30.045,irwanto.bana@sat.co.id,2026-05-08 10:03:33.691,dadi.permana@sat.co.id,2026-05-08 10:35:19.562,,"35",NON RUKO,"249.77","316.68","133.81","133.81","131.59","40.76","436285990","436285990","484270800",2026-05-07 07:46:40.501,https://drive.google.com/file/d/1p-jBPaojkucGU92xRhPGjYxb1FbpoenV/view?usp=drivesdk,,"5084","10.03.04.25.11.0.00088","2026-11-07",https://drive.google.com/uc?export=download&id=1ghIq-_sh-l3OJV_XlaX8PGMgMPGzcu8B,NULL
824,1524,Menunggu Persetujuan Manajer,CV CAHAYA FIRATAMA,https://drive.google.com/file/d/14F_dbib3nKvbn_pvQYOu9UUQfQODTmg1/view?usp=drivesdk,https://drive.google.com/file/d/1P_oH8GKa9Mx3laCFZVb6MoEijVvsbqIf/view?usp=drivesdk,https://drive.google.com/file/d/1_AVYZYvq-KFD7TN6EU1tuaGhPj4hEG9E/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1_yUdXfDT88JsRuVFVO5yt6PNZ9VCr5xu,cahayafiratama29@gmail.com,maryammahmudbunti29@gmail.com,2026-05-08 09:01:01.217,iwayan.m.weda@sat.co.id,2026-05-08 10:10:23.596,,,,"40",NON RUKO,"246","373.2","254.4","235.67","120.61","41.65","27303470","27303470","30303000",2026-05-05 12:07:13.431,https://drive.google.com/file/d/1ZkgP5niQiiwis5UD80mnUDCmZ5XKdqKu/view?usp=drivesdk,,"7081","10.03.04.25.11.0.0050","2025-01-11",https://drive.google.com/uc?export=download&id=1s0-ERPpOIXfJyKi00n2WQuiWl_4xbOfz,
